time,concentration 
0,1.2
2.347581427,1.199994328
4.695162854,1.199974434
7.042744281,1.199932566
12.41352476,1.199703309
17.78430523,1.199334863
23.15508571,1.198847982
36.18841944,1.197307933
49.22175318,1.195571516
62.25508692,1.193760069
93.04544189,1.189545211
123.8357969,1.185527099
154.6261518,1.181742832
217.546269,1.174788771
280.4663862,1.168526664
343.3865034,1.162855862
467.6678381,1.152893515
591.9491727,1.144480597
716.2305073,1.137385025
840.5118419,1.131403543
1040.511842,1.123626267
1240.511842,1.117713901
1440.511842,1.113221816
1640.511842,1.109808564
1840.511842,1.107227323
2000,1.10562285
