Wavenumber (cm^-1),0M,0.6M,0.8M,1M,1.2M,1.4M,1.8M
400.1635,0.075088576,0.105400649,0.169803254,0.121156628,0.163367224,0.151018195,0.308196972
400.6456,0.058626783,0.088940683,0.155476641,0.120485042,0.14074474,0.158891695,0.285195792
401.1277,0.038157262,0.073724824,0.138064556,0.119213557,0.117803811,0.166669597,0.258493581
401.6098,0.016085621,0.061020218,0.118889496,0.116732507,0.097927277,0.174188144,0.228872201
402.0919,-0.004850622,0.051901574,0.099601627,0.113147057,0.084009828,0.181431854,0.198691592
402.5741,-0.022172486,0.047086239,0.082071631,0.109374919,0.078115731,0.188142853,0.171525778
403.0562,-0.034118968,0.046813494,0.068142217,0.106948564,0.081221552,0.193510463,0.151204132
403.5383,-0.039853108,0.050859917,0.059287139,0.107534684,0.093076803,0.196255885,0.14071212
404.0204,-0.039381042,0.058714058,0.056361359,0.112425983,0.112282607,0.195262214,0.141429481
404.5026,-0.033298896,0.069791721,0.059467384,0.122158321,0.136567437,0.190410095,0.15285109
404.9847,-0.022565449,0.083527214,0.067952894,0.136354523,0.163186583,0.183001739,0.172682395
405.4668,-0.008441565,0.099238497,0.080436709,0.153705042,0.189283599,0.175402381,0.197199585
405.9489,0.007413971,0.115878363,0.094913381,0.172095473,0.212202885,0.170121475,0.221891145
406.4311,0.022891252,0.131894115,0.10899009,0.188888662,0.229737395,0.168870967,0.242429379
406.9132,0.03558683,0.14535658,0.120318316,0.201408663,0.24035342,0.171997163,0.255753109
407.3953,0.043263598,0.154414897,0.127130039,0.207541764,0.243361179,0.178355894,0.260786253
407.8774,0.044493811,0.157923478,0.12871489,0.206302654,0.239022361,0.185582193,0.258425064
408.3596,0.039214675,0.155954863,0.12561846,0.198131823,0.228556384,0.190700696,0.250928955
408.8417,0.028910915,0.149944264,0.119510493,0.184851968,0.214045954,0.19108557,0.241148866
409.3238,0.016278534,0.142330065,0.112720111,0.169248662,0.198163816,0.185565428,0.23189371
409.8059,0.004447917,0.135767606,0.1075843,0.154386735,0.183700168,0.175144827,0.225458635
410.2881,-0.003993863,0.132161125,0.105718299,0.142787458,0.172902113,0.162699935,0.223216739
410.7702,-0.007798194,0.131897755,0.107491518,0.135741086,0.16684167,0.151682862,0.22532351
411.2523,-0.007331391,0.133662934,0.11194004,0.133036426,0.165125114,0.144627991,0.230710425
411.7344,-0.004180436,0.135021254,0.117242783,0.133287603,0.166147402,0.142332052,0.237451462
412.2166,-0.000319066,0.133495803,0.121503022,0.134665077,0.167774056,0.143948038,0.243393098
412.6987,0.002751211,0.127638154,0.123477091,0.135713678,0.168157759,0.147671831,0.246778405
413.1808,0.004512748,0.117604558,0.122929119,0.13588224,0.166340252,0.151603834,0.246652508
413.6629,0.005453067,0.105054932,0.120579399,0.135631891,0.162489241,0.154483293,0.243000481
414.1451,0.006666371,0.092517857,0.117715657,0.136104422,0.157684009,0.156093514,0.23661175
