Wavenumber (cm^-1),0M,0.6M,0.8M,1M,1.2M,1.4M,1.8M
649.9039,0.002715258,-0.001406873,0.000598575,0.001411864,-0.001356958,0.000587558,-0.000284666
650.3861,0.002248986,-0.001467016,0.000760134,0.001267012,-0.001596683,0.000748384,-0.000828943
650.8682,0.001644805,-0.001624118,0.000891948,0.001123992,-0.001762768,0.000623617,-0.001167646
651.3503,0.001005956,-0.001820474,0.001000838,0.001037174,-0.001804724,0.000275092,-0.001241302
651.8325,0.000428546,-0.001974873,0.001098684,0.00103999,-0.001704338,-0.00019357,-0.001046792
652.3146,-2.04E-05,-0.00200238,0.001187232,0.001139695,-0.001475209,-0.000664438,-0.000638057
652.7967,-0.000316223,-0.001844568,0.001248752,0.001317925,-0.001153817,-0.001038972,-0.000115322
653.2788,-0.0004747,-0.001493634,0.001246309,0.001534887,-0.000786529,-0.001264472,0.000398683
653.761,-0.000543088,-0.001003401,0.001136704,0.001734274,-0.000419966,-0.00134342,0.000785026
654.2431,-0.000582984,-0.000479376,0.000886983,0.001849456,-9.68E-05,-0.001326847,0.000953508
654.7252,-0.000651955,-4.81E-05,0.000490798,0.001815519,0.000143432,-0.001289631,0.000856667
655.2073,-0.000787268,0.000183276,-2.76E-05,0.001584228,0.000264988,-0.001302583,0.000496673
655.6895,-0.000994536,0.00016256,-0.000621075,0.001140701,0.000238595,-0.001408308,-7.92E-05
656.1716,-0.001246198,-8.94E-05,-0.001236791,0.000517148,4.98E-05,-0.001610263,-0.000785922
656.6537,-0.001487219,-0.000486925,-0.001832264,-0.000207822,-0.000289329,-0.001875873,-0.001512655
657.1359,-0.00165228,-0.00090872,-0.002382699,-0.000922989,-0.000733216,-0.002151578,-0.002135324
657.6179,-0.001685327,-0.001238654,-0.002875583,-0.00151227,-0.001201479,-0.002379867,-0.002533321
658.1001,-0.001560508,-0.00140072,-0.003295747,-0.001887277,-0.001589497,-0.002512782,-0.002609208
658.5822,-0.001293464,-0.001377577,-0.003609655,-0.002009653,-0.001789712,-0.002518619,-0.002311974
659.0643,-0.000941931,-0.001206582,-0.00376209,-0.001900323,-0.001717701,-0.002382773,-0.001655536
659.5464,-0.000592656,-0.00096063,-0.003689838,-0.001627581,-0.001340753,-0.002107292,-0.000728353
660.0286,-0.0003378,-0.000720336,-0.003350051,-0.001282917,-0.000696076,-0.001714634,0.000315457
