Wavenumber,Absorbance (I),Background (I0),T,A
4.00E+02,5.18E-02,2.55E-01,2.04E-01,0.691409091
4.01E+02,5.38E-02,2.65E-01,2.03E-01,0.69284508
4.01E+02,5.54E-02,2.75E-01,2.01E-01,0.695928
4.02E+02,5.65E-02,2.84E-01,1.99E-01,0.700783461
4.02E+02,5.74E-02,2.91E-01,1.97E-01,0.705635657
4.03E+02,5.84E-02,2.98E-01,1.96E-01,0.708008943
4.03E+02,5.99E-02,3.05E-01,1.97E-01,0.70614454
4.04E+02,6.20E-02,3.11E-01,1.99E-01,0.700100593
4.04E+02,6.43E-02,3.16E-01,2.03E-01,0.691640973
4.05E+02,6.67E-02,3.22E-01,2.07E-01,0.683157686
4.05E+02,6.88E-02,3.27E-01,2.11E-01,0.676411894
4.05E+02,7.07E-02,3.32E-01,2.13E-01,0.671846827
4.06E+02,7.24E-02,3.38E-01,2.14E-01,0.668654655
4.06E+02,7.44E-02,3.44E-01,2.16E-01,0.665498708
4.07E+02,7.67E-02,3.52E-01,2.18E-01,0.661411356
4.07E+02,7.92E-02,3.59E-01,2.21E-01,0.656387733
4.08E+02,8.19E-02,3.67E-01,2.23E-01,0.651273635
4.08E+02,8.42E-02,3.74E-01,2.25E-01,0.647150283
4.09E+02,8.61E-02,3.80E-01,2.27E-01,0.644641489
4.09E+02,8.75E-02,3.85E-01,2.27E-01,0.643555962
4.10E+02,8.88E-02,3.90E-01,2.28E-01,0.642990848
4.10E+02,9.03E-02,3.96E-01,2.28E-01,0.641847292
4.11E+02,9.22E-02,4.02E-01,2.29E-01,0.639461201
4.11E+02,9.45E-02,4.09E-01,2.31E-01,0.636007449
4.12E+02,9.69E-02,4.16E-01,2.33E-01,0.632355375
4.12E+02,9.91E-02,4.23E-01,2.35E-01,0.629548803
4.13E+02,1.01E-01,4.29E-01,2.35E-01,0.628245589
4.13E+02,1.02E-01,4.35E-01,2.35E-01,0.628430796
4.14E+02,1.04E-01,4.41E-01,2.35E-01,0.629500915
4.14E+02,1.05E-01,4.47E-01,2.34E-01,0.630658104
4.15E+02,1.06E-01,4.52E-01,2.34E-01,0.6313501
4.15E+02,1.07E-01,4.57E-01,2.34E-01,0.631537328
4.16E+02,1.07E-01,4.60E-01,2.34E-01,0.631584946
4.16E+02,1.08E-01,4.61E-01,2.33E-01,0.631935646
4.17E+02,1.07E-01,4.61E-01,2.33E-01,0.632743192
4.17E+02,1.07E-01,4.59E-01,2.32E-01,0.633733451
4.18E+02,1.06E-01,4.58E-01,2.32E-01,0.634346182
4.18E+02,1.06E-01,4.58E-01,2.32E-01,0.634135485
4.18E+02,1.07E-01,4.61E-01,2.33E-01,0.633149396
4.19E+02,1.09E-01,4.68E-01,2.33E-01,0.632023944
4.19E+02,1.12E-01,4.78E-01,2.34E-01,0.631622062
4.20E+02,1.14E-01,4.91E-01,2.33E-01,0.632511395
4.20E+02,1.17E-01,5.05E-01,2.32E-01,0.634618069
4.21E+02,1.20E-01,5.20E-01,2.31E-01,0.637283783
4.21E+02,1.22E-01,5.33E-01,2.29E-01,0.639652643
4.22E+02,1.24E-01,5.44E-01,2.28E-01,0.641173694
4.22E+02,1.26E-01,5.53E-01,2.28E-01,0.641900656
4.23E+02,1.28E-01,5.61E-01,2.28E-01,0.64247644
4.23E+02,1.29E-01,5.67E-01,2.27E-01,0.64370894
4.24E+02,1.30E-01,5.73E-01,2.26E-01,0.646035443
4.24E+02,1.30E-01,5.80E-01,2.24E-01,0.649118072
4.25E+02,1.31E-01,5.86E-01,2.23E-01,0.651841243
4.25E+02,1.32E-01,5.94E-01,2.22E-01,0.65279381
4.26E+02,1.35E-01,6.03E-01,2.23E-01,0.651039135
4.26E+02,1.38E-01,6.13E-01,2.26E-01,0.646699658
4.27E+02,1.42E-01,6.23E-01,2.29E-01,0.640981994
4.27E+02,1.47E-01,6.34E-01,2.31E-01,0.635585686
4.28E+02,1.50E-01,6.43E-01,2.33E-01,0.631930183
4.28E+02,1.53E-01,6.52E-01,2.34E-01,0.63058717
4.29E+02,1.54E-01,6.59E-01,2.34E-01,0.631136713
4.29E+02,1.55E-01,6.66E-01,2.33E-01,0.632433733
4.30E+02,1.57E-01,6.73E-01,2.33E-01,0.633190595
4.30E+02,1.58E-01,6.79E-01,2.33E-01,0.632580976
4.31E+02,1.61E-01,6.86E-01,2.34E-01,0.630592334
4.31E+02,1.63E-01,6.94E-01,2.36E-01,0.627882317
4.32E+02,1.66E-01,7.01E-01,2.37E-01,0.625301768
4.32E+02,1.69E-01,7.08E-01,2.38E-01,0.623362177
4.32E+02,1.71E-01,7.15E-01,2.39E-01,0.622014853
4.33E+02,1.73E-01,7.21E-01,2.39E-01,0.620701732
4.33E+02,1.75E-01,7.27E-01,2.41E-01,0.618844642
4.34E+02,1.77E-01,7.31E-01,2.42E-01,0.6162655
4.34E+02,1.79E-01,7.35E-01,2.44E-01,0.61340364
4.35E+02,1.81E-01,7.39E-01,2.45E-01,0.6111581
4.35E+02,1.82E-01,7.42E-01,2.45E-01,0.61046568
4.36E+02,1.82E-01,7.45E-01,2.44E-01,0.611822499
4.36E+02,1.82E-01,7.49E-01,2.43E-01,0.61499948
