Wavenumber,Absorbance (I),Background (I0),T,A
4.00E+02,6.26E-02,3.16E-01,1.98E-01,0.7024595
4.01E+02,6.36E-02,3.25E-01,1.96E-01,0.708575032
4.01E+02,6.44E-02,3.34E-01,1.93E-01,0.715153772
4.02E+02,6.53E-02,3.43E-01,1.91E-01,0.719667723
4.02E+02,6.68E-02,3.50E-01,1.91E-01,0.719599012
4.03E+02,6.92E-02,3.58E-01,1.93E-01,0.713752371
4.03E+02,7.22E-02,3.65E-01,1.98E-01,0.703155183
4.04E+02,7.57E-02,3.72E-01,2.04E-01,0.690832985
4.04E+02,7.90E-02,3.78E-01,2.09E-01,0.680515134
4.05E+02,8.14E-02,3.85E-01,2.11E-01,0.675208368
4.05E+02,8.26E-02,3.92E-01,2.11E-01,0.67625301
4.05E+02,8.27E-02,3.99E-01,2.07E-01,0.683103471
4.06E+02,8.22E-02,4.06E-01,2.02E-01,0.693666766
4.06E+02,8.15E-02,4.14E-01,1.97E-01,0.705153709
4.07E+02,8.12E-02,4.21E-01,1.93E-01,0.715125716
4.07E+02,8.13E-02,4.29E-01,1.90E-01,0.72233575
4.08E+02,8.20E-02,4.37E-01,1.88E-01,0.726803812
4.08E+02,8.30E-02,4.45E-01,1.87E-01,0.729190044
4.09E+02,8.42E-02,4.52E-01,1.86E-01,0.729914269
4.09E+02,8.58E-02,4.60E-01,1.87E-01,0.728721437
4.10E+02,8.80E-02,4.67E-01,1.88E-01,0.724908596
4.10E+02,9.09E-02,4.75E-01,1.91E-01,0.718072997
4.11E+02,9.45E-02,4.84E-01,1.96E-01,0.708791102
4.11E+02,9.85E-02,4.92E-01,2.00E-01,0.698701187
4.12E+02,1.02E-01,5.01E-01,2.04E-01,0.689907762
4.12E+02,1.05E-01,5.09E-01,2.07E-01,0.684143195
4.13E+02,1.08E-01,5.17E-01,2.08E-01,0.682109884
4.13E+02,1.09E-01,5.25E-01,2.07E-01,0.683299431
4.14E+02,1.10E-01,5.33E-01,2.06E-01,0.686267781
4.14E+02,1.11E-01,5.41E-01,2.04E-01,0.689323853
4.15E+02,1.12E-01,5.49E-01,2.04E-01,0.69130202
4.15E+02,1.13E-01,5.56E-01,2.03E-01,0.692079394
4.16E+02,1.14E-01,5.63E-01,2.03E-01,0.69248688
4.16E+02,1.15E-01,5.69E-01,2.02E-01,0.693751265
4.17E+02,1.15E-01,5.74E-01,2.01E-01,0.696805199
4.17E+02,1.15E-01,5.78E-01,1.99E-01,0.701847239
4.18E+02,1.14E-01,5.82E-01,1.96E-01,0.708294925
4.18E+02,1.13E-01,5.86E-01,1.93E-01,0.715130958
4.18E+02,1.12E-01,5.92E-01,1.90E-01,0.721422708
4.19E+02,1.12E-01,5.99E-01,1.88E-01,0.726761119
4.19E+02,1.13E-01,6.08E-01,1.86E-01,0.731316029
4.20E+02,1.14E-01,6.18E-01,1.84E-01,0.735520235
4.20E+02,1.15E-01,6.29E-01,1.82E-01,0.739606496
4.21E+02,1.16E-01,6.40E-01,1.81E-01,0.743355117
4.21E+02,1.17E-01,6.51E-01,1.79E-01,0.746182185
4.22E+02,1.18E-01,6.62E-01,1.79E-01,0.747518447
4.22E+02,1.20E-01,6.72E-01,1.79E-01,0.747159506
4.23E+02,1.22E-01,6.82E-01,1.80E-01,0.74540095
4.23E+02,1.25E-01,6.91E-01,1.81E-01,0.74278564
4.24E+02,1.27E-01,7.00E-01,1.82E-01,0.739706765
4.24E+02,1.30E-01,7.09E-01,1.84E-01,0.736085901
4.25E+02,1.33E-01,7.18E-01,1.86E-01,0.731415023
4.25E+02,1.37E-01,7.27E-01,1.88E-01,0.72512905
4.26E+02,1.41E-01,7.37E-01,1.92E-01,0.71713852
4.26E+02,1.46E-01,7.46E-01,1.96E-01,0.708144604
4.27E+02,1.51E-01,7.56E-01,2.00E-01,0.699518685
4.27E+02,1.55E-01,7.65E-01,2.03E-01,0.692786839
4.28E+02,1.58E-01,7.74E-01,2.05E-01,0.689041717
4.28E+02,1.60E-01,7.82E-01,2.05E-01,0.688507478
4.29E+02,1.61E-01,7.90E-01,2.04E-01,0.690470338
4.29E+02,1.61E-01,7.97E-01,2.03E-01,0.693546271
4.30E+02,1.62E-01,8.05E-01,2.01E-01,0.696250794
4.30E+02,1.63E-01,8.12E-01,2.01E-01,0.697598178
4.31E+02,1.64E-01,8.20E-01,2.01E-01,0.697460917
4.31E+02,1.66E-01,8.27E-01,2.01E-01,0.69645163
4.32E+02,1.68E-01,8.34E-01,2.02E-01,0.695461962
4.32E+02,1.70E-01,8.42E-01,2.02E-01,0.695120304
4.32E+02,1.71E-01,8.49E-01,2.02E-01,0.695497432
4.33E+02,1.72E-01,8.56E-01,2.01E-01,0.696118421
4.33E+02,1.74E-01,8.64E-01,2.01E-01,0.696326743
4.34E+02,1.76E-01,8.72E-01,2.02E-01,0.695675665
4.34E+02,1.78E-01,8.80E-01,2.02E-01,0.694170097
4.35E+02,1.80E-01,8.88E-01,2.03E-01,0.692198706
4.35E+02,1.83E-01,8.95E-01,2.04E-01,0.690261066
4.36E+02,1.85E-01,9.03E-01,2.05E-01,0.688653798
4.36E+02,1.87E-01,9.10E-01,2.05E-01,0.687353308
4.37E+02,1.89E-01,9.17E-01,2.06E-01,0.686125791
4.37E+02,1.91E-01,9.24E-01,2.07E-01,0.684816654
4.38E+02,1.93E-01,9.32E-01,2.07E-01,0.683588816
4.38E+02,1.95E-01,9.40E-01,2.08E-01,0.682963569
4.39E+02,1.96E-01,9.48E-01,2.07E-01,0.683596705
4.39E+02,1.97E-01,9.56E-01,2.06E-01,0.685936099
4.40E+02,1.97E-01,9.63E-01,2.04E-01,0.689924326
4.40E+02,1.96E-01,9.70E-01,2.02E-01,0.694928037
4.41E+02,1.95E-01,9.76E-01,2.00E-01,0.699926122
4.41E+02,1.94E-01,9.82E-01,1.98E-01,0.703917252
4.42E+02,1.94E-01,9.88E-01,1.97E-01,0.706319297
4.42E+02,1.95E-01,9.95E-01,1.96E-01,0.70715467
4.43E+02,1.97E-01,1.00E+00,1.96E-01,0.706885537
4.43E+02,1.98E-01,1.01E+00,1.97E-01,0.706026191
4.44E+02,2.00E-01,1.02E+00,1.97E-01,0.704774654
4.44E+02,2.03E-01,1.02E+00,1.98E-01,0.702902715
4.45E+02,2.06E-01,1.03E+00,2.00E-01,0.69996401
4.45E+02,2.09E-01,1.04E+00,2.02E-01,0.695700371
4.45E+02,2.13E-01,1.05E+00,2.04E-01,0.690370671
4.46E+02,2.18E-01,1.05E+00,2.07E-01,0.684807859
4.46E+02,2.22E-01,1.06E+00,2.09E-01,0.680128485
4.47E+02,2.24E-01,1.07E+00,2.10E-01,0.677290111
4.47E+02,2.26E-01,1.07E+00,2.11E-01,0.676711096
4.48E+02,2.27E-01,1.08E+00,2.10E-01,0.678126965
4.48E+02,2.26E-01,1.09E+00,2.09E-01,0.680735522
4.49E+02,2.26E-01,1.09E+00,2.07E-01,0.683573181
4.49E+02,2.26E-01,1.10E+00,2.06E-01,0.685937867
4.50E+02,2.27E-01,1.10E+00,2.05E-01,0.687652748
4.50E+02,2.27E-01,1.11E+00,2.05E-01,0.689015009
4.51E+02,2.27E-01,1.11E+00,2.04E-01,0.690496168
4.51E+02,2.27E-01,1.12E+00,2.03E-01,0.692371779
4.52E+02,2.27E-01,1.12E+00,2.02E-01,0.694513648
4.52E+02,2.27E-01,1.13E+00,2.01E-01,0.696437154
4.53E+02,2.27E-01,1.13E+00,2.01E-01,0.697594177
4.53E+02,2.29E-01,1.14E+00,2.01E-01,0.697714167
4.54E+02,2.30E-01,1.15E+00,2.01E-01,0.69699863
4.54E+02,2.32E-01,1.15E+00,2.01E-01,0.69601587
4.55E+02,2.33E-01,1.16E+00,2.02E-01,0.695402745
4.55E+02,2.34E-01,1.16E+00,2.02E-01,0.695517754
4.56E+02,2.33E-01,1.16E+00,2.01E-01,0.696272441
4.56E+02,2.33E-01,1.16E+00,2.01E-01,0.697187177
4.57E+02,2.33E-01,1.16E+00,2.01E-01,0.697656609
4.57E+02,2.33E-01,1.16E+00,2.01E-01,0.697271539
4.58E+02,2.35E-01,1.16E+00,2.01E-01,0.69601963
4.58E+02,2.36E-01,1.17E+00,2.02E-01,0.694233544
4.59E+02,2.38E-01,1.17E+00,2.03E-01,0.692349046
4.59E+02,2.41E-01,1.18E+00,2.04E-01,0.690617342
4.59E+02,2.43E-01,1.19E+00,2.05E-01,0.688971662
4.60E+02,2.46E-01,1.20E+00,2.06E-01,0.687113182
4.60E+02,2.49E-01,1.20E+00,2.07E-01,0.684762469
4.61E+02,2.52E-01,1.21E+00,2.08E-01,0.681901419
4.61E+02,2.55E-01,1.22E+00,2.09E-01,0.678863516
4.62E+02,2.58E-01,1.23E+00,2.11E-01,0.67620004
4.62E+02,2.61E-01,1.23E+00,2.12E-01,0.674418749
4.63E+02,2.62E-01,1.24E+00,2.12E-01,0.673736837
4.63E+02,2.63E-01,1.24E+00,2.12E-01,0.673999072
4.64E+02,2.64E-01,1.25E+00,2.11E-01,0.674760586
4.64E+02,2.65E-01,1.26E+00,2.11E-01,0.675561108
4.65E+02,2.66E-01,1.26E+00,2.11E-01,0.676152763
4.65E+02,2.67E-01,1.27E+00,2.11E-01,0.67659312
4.66E+02,2.68E-01,1.27E+00,2.10E-01,0.677118732
4.66E+02,2.69E-01,1.28E+00,2.10E-01,0.677899758
4.67E+02,2.70E-01,1.29E+00,2.09E-01,0.678816482
4.67E+02,2.70E-01,1.29E+00,2.09E-01,0.679427662
4.68E+02,2.72E-01,1.30E+00,2.09E-01,0.679159995
4.68E+02,2.74E-01,1.31E+00,2.10E-01,0.67765127
4.69E+02,2.77E-01,1.31E+00,2.11E-01,0.675031048
4.69E+02,2.80E-01,1.32E+00,2.13E-01,0.671969313
4.70E+02,2.83E-01,1.32E+00,2.14E-01,0.66942843
4.70E+02,2.85E-01,1.33E+00,2.15E-01,0.668266724
4.71E+02,2.86E-01,1.34E+00,2.14E-01,0.66887915
4.71E+02,2.86E-01,1.34E+00,2.13E-01,0.671046485
4.72E+02,2.85E-01,1.35E+00,2.12E-01,0.67404167
4.72E+02,2.85E-01,1.35E+00,2.10E-01,0.676958195
4.72E+02,2.85E-01,1.36E+00,2.09E-01,0.679099055
4.73E+02,2.86E-01,1.37E+00,2.09E-01,0.680243682
4.73E+02,2.88E-01,1.38E+00,2.09E-01,0.680631772
4.74E+02,2.90E-01,1.39E+00,2.09E-01,0.680719683
4.74E+02,2.92E-01,1.40E+00,2.09E-01,0.680842775
4.75E+02,2.94E-01,1.41E+00,2.08E-01,0.681018795
4.75E+02,2.96E-01,1.42E+00,2.08E-01,0.680965294
4.76E+02,2.98E-01,1.43E+00,2.09E-01,0.68032319
4.76E+02,3.01E-01,1.44E+00,2.09E-01,0.678926211
4.77E+02,3.04E-01,1.45E+00,2.10E-01,0.676960117
4.77E+02,3.07E-01,1.45E+00,2.11E-01,0.674900771
4.78E+02,3.10E-01,1.46E+00,2.12E-01,0.673285685
4.78E+02,3.13E-01,1.47E+00,2.13E-01,0.672443223
4.79E+02,3.14E-01,1.48E+00,2.13E-01,0.672343448
4.79E+02,3.15E-01,1.48E+00,2.13E-01,0.672627762
4.80E+02,3.17E-01,1.49E+00,2.12E-01,0.672812032
4.80E+02,3.18E-01,1.50E+00,2.13E-01,0.672530904
4.81E+02,3.21E-01,1.51E+00,2.13E-01,0.671696609
4.81E+02,3.23E-01,1.51E+00,2.14E-01,0.670478173
4.82E+02,3.26E-01,1.52E+00,2.14E-01,0.669128125
